time,open,high,low,close,VWAP
1700045700,5173.25,5174,5172.25,5172.75,5166.600374657393
1700046000,5172.75,5173,5171.25,5171.5,5166.655688499051
1700046300,5171.25,5171.5,5168.75,5170.25,5166.7019683462495
1700046600,5170,5170.5,5168.75,5169.25,5166.7222742067215
1700046900,5169,5170.5,5168.75,5169.5,5166.745906090981
1700047200,5169.75,5171,5169.75,5170.5,5166.771188020599
1700047500,5170.5,5171.75,5170.25,5171.25,5166.791388038904
1700047800,5171,5173,5170.5,5172.75,5166.872319251287
1700048100,5172.75,5173.75,5172.75,5173.25,5166.928071104732
1700048400,5173.5,5174.25,5172.75,5173.25,5167.0049797949105
1700048700,5173.25,5175.25,5173,5175.25,5167.083172933403
1700049000,5175.25,5175.25,5174.25,5174.75,5167.148556342617
1700049300,5174.75,5175.5,5174.5,5175,5167.210597793336
1700049600,5175,5175,5173,5175,5167.299106553528
1700049900,5174.75,5175,5173.75,5174.75,5167.348599782929
1700050200,5174.75,5178.25,5174.5,5177.75,5167.5131357193995
1700050500,5177.5,5178.5,5176.5,5176.75,5167.651608269315
1700050800,5176.5,5177,5172.25,5173,5167.798992565018
1700051100,5173.25,5176.25,5172.5,5175.25,5167.879470532182
1700051400,5175,5177.75,5175,5176.5,5167.99076030667
1700051700,5176.75,5177,5175,5176,5168.051791916733
1700052000,5176,5176.25,5174,5175,5168.10472263912
1700052300,5175,5175.5,5173.5,5174.5,5168.171615663524
1700052600,5174.5,5176,5173.75,5175.75,5168.2200155359415
1700052900,5176,5178.25,5175.25,5177.75,5168.325866377495
1700053200,5177.5,5178.5,5175.75,5176.75,5168.458744612039
1700053500,5177,5178.25,5175.75,5177.5,5168.571622406639
1700053800,5177.5,5178,5175,5177,5168.683627863921
1700054100,5177,5178.5,5176,5177.5,5168.78313126846
1700054400,5177.75,5178.25,5176.5,5177,5168.918957380343
1700054700,5176.75,5177.5,5175.75,5177,5169.051285295186
1700055000,5176.25,5186,5170.25,5172.75,5169.8589268154665
1700055300,5172.75,5174,5168.75,5169.5,5169.907283199466
1700055600,5169.25,5172,5165,5165.75,5169.792881740252
1700055900,5165.75,5170.75,5164.25,5170.25,5169.735094729131
1700056200,5170.5,5173,5170,5172.75,5169.791634881591
1700056500,5172.75,5173,5169.75,5170.5,5169.817031494631
1700056800,5170.75,5171.5,5167.5,5168,5169.796416621106
1700057100,5168,5169.5,5167,5167.25,5169.760186755668
1700057400,5167.25,5167.25,5164.5,5164.75,5169.662617924949
1700057700,5164.75,5166.75,5163.25,5166,5169.552881197359
1700058000,5165.75,5166.5,5164,5164.75,5169.484526769945
1700058300,5164.5,5168.75,5164.25,5168.5,5169.417565477258
1700058600,5168.5,5174.25,5168.25,5173,5169.703480993813
1700058900,5173,5175.25,5169.75,5171.5,5169.909269289231
1700059200,5171.5,5172.75,5166.25,5168.25,5169.855395071578
1700059500,5168.25,5169.5,5165.5,5168.25,5169.742669791563
1700059800,5168.25,5169.25,5161.5,5165.25,5169.465049881592
1700060100,5165.5,5167.75,5163.25,5166.5,5169.305897792123
1700060400,5166.75,5168.5,5165,5167.75,5169.220585758194
1700060700,5167.5,5171.25,5166,5170.75,5169.224416415341
1700061000,5171,5171.75,5168.25,5171,5169.254586166744
1700061300,5171,5175.75,5170.75,5174,5169.414182933975
1700061600,5174.25,5177.5,5173.5,5177.5,5169.620799544641
1700061900,5177.5,5180,5174,5174.5,5169.863906912856
1700062200,5174.75,5176.75,5172,5175.25,5170.007454109226
1700062500,5175.5,5177.25,5174.75,5175.25,5170.125005128626
1700062800,5175.25,5178.5,5175.25,5177.5,5170.248747226731
1700063100,5177.5,5179.75,5177.25,5179,5170.3880416775655
1700063400,5179.25,5181.5,5178.25,5179.75,5170.574295424077
1700063700,5180,5181,5177.5,5178.5,5170.727699947768
1700064000,5178.75,5181.5,5178.5,5178.75,5170.900218394398
1700064300,5178.75,5179,5174,5177.75,5171.02457620745
1700064600,5177.75,5179.75,5173.75,5174.25,5171.1234742019915
1700064900,5174,5177.5,5173.25,5177.25,5171.205647760042
1700065200,5177,5178.5,5174.75,5178,5171.296633301422
1700065500,5178,5178,5174,5175.75,5171.371420001922
1700065800,5175.75,5175.75,5172.25,5174.25,5171.420572855499
1700066100,5174,5174.25,5167.75,5169.5,5171.395796654929
1700066400,5169.75,5169.75,5164,5165.25,5171.265701502008
1700066700,5165.25,5169.75,5165,5168.75,5171.191647223314
1700067000,5168.75,5169.75,5165,5165.5,5171.096331697534
1700067300,5165.5,5167.5,5165,5166,5171.019908695132
1700067600,5166,5167.75,5164.5,5166,5170.946609015238
1700067900,5165.75,5168.5,5165,5166.25,5170.894591268692
1700068200,5166,5166.25,5163,5166,5170.800960143054
1700068500,5165.75,5166.5,5164,5165.75,5170.745767134408
1700068800,5165.75,5168,5164.75,5167.25,5170.698211601554
1700069100,5167,5169.25,5166.75,5169.25,5170.669047014198
1700069400,5169.25,5170.25,5166.75,5170,5170.65082183449
1700069700,5169.75,5171.25,5168.75,5170,5170.646115253413
1700070000,5170,5170.75,5165.25,5167,5170.617769034932
1700070300,5167,5168.75,5165.75,5168.5,5170.596730558283
1700070600,5168.5,5168.75,5165.75,5167.5,5170.57693900012
1700070900,5167.25,5168.75,5164.25,5165,5170.5364099817625
1700071200,5165,5166,5161,5163.25,5170.41627985312
1700071500,5163.25,5163.5,5157.5,5158.75,5170.201044344855
1700071800,5158.5,5160.75,5156.75,5157.5,5169.986358119488
1700072100,5157.5,5159.5,5155.5,5159.25,5169.806594868339
