time,open,high,low,close,Plot,Plot,ROC Line
983142000,1689.25,1712.25,1681.75,1711.25,-34.39166666667256,-20.42916666667253,16
983228400,1711,1715,1692.25,1702,-25.166666666672654,-22.083333333339212,16.5
983314800,1701.75,1707,1668.75,1680,-18.60000000000582,-23.062500000005855,-31.25
983401200,1677.25,1682,1653.5,1681.5,-20.891666666672563,-23.698958333339178,-20.5
983487600,1681,1692.25,1659,1672,-20.991666666672472,-24.393229166672512,-8
983746800,1674.25,1682.5,1672.75,1681.75,-14.283333333338987,-24.29687500000584,0.25
983833200,1681.5,1708.5,1680.5,1694.75,-7.016666666672563,-23.276041666672512,22.75
983919600,1695,1704.75,1692.75,1703.75,2.641666666660967,-21.550000000005838,22
984006000,1705,1707.25,1696.25,1703.5,9.066666666660922,-19.584375000005835,8.75
984092400,1704.5,1704.5,1665.25,1669.75,2.3083333333274823,-18.3510416666725,-34
984351600,1668,1671.25,1611,1616,-17.416666666672654,-18.644270833339178,-87.5
984438000,1618,1637,1609,1634.5,-33.666666666672654,-19.817187500005858,-35.25
984524400,1635,1636.5,1591,1606,-47.51666666667256,-21.61666666667253,-10
984610800,1605.75,1619.5,1599.5,1610.25,-42.30833333333908,-22.120312500005852,-24.25
984697200,1611.5,1618,1583,1586.5,-49.75833333333867,-22.671354166672486,-19.5
984956400,1589.75,1611.75,1583.25,1605.5,-42.30000000000541,-22.518229166672455,-4.75
985042800,1605.5,1618.25,1576.25,1577.5,-41.49166666667247,-22.96197916667245,-9
985129200,1578,1586.25,1552,1557.75,-36.47500000000559,-23.66875000000576,-47.75
985215600,1558,1561.75,1513,1544,-41.02500000000555,-25.07031250000574,-33.5
985302000,1547.25,1580,1545.5,1578.25,-31.625000000005684,-25.74114583333906,20.5
985561200,1578.25,1595.75,1575.75,1591.5,-17.92500000000564,-25.549479166672384,47.5
985647600,1591.25,1619.5,1585.75,1614.75,7.633333333327528,-24.179687500005727,36.5
985734000,1614.25,1614.25,1580.5,1584.5,11.866666666661104,-22.999479166672373,-7
985820400,1585.5,1598.25,1568.75,1586.5,12.574999999994361,-22.378645833339036,-28.25
985906800,1586,1600,1576.5,1599,6.074999999994361,-22.565625000005696,14.5
986162400,1598,1603.75,1570.25,1574.75,5.899999999994179,-22.341145833339027,-11.75
986248800,1575.75,1578.75,1531.5,1533.5,-7.366666666672472,-21.713020833339016,-65.5
986335200,1534,1551.25,1523.5,1537.5,-25.84166666667261,-21.223958333339013,-37.25
986421600,1538,1586.25,1538,1580,-27.691666666672518,-19.98489583333901,46.5
986508000,1581,1590.25,1551.5,1565.5,-15.750000000005912,-18.325000000005687,28
986767200,1563,1580.25,1558.5,1575.25,-1.5416666666726542,-15.311458333339061,-4.75
986853600,1574.75,1607.5,1574.5,1597,5.899999999994179,-12.298958333339087,31.5
986940000,1598,1619,1591,1598.25,15.441666666661149,-8.740625000005736,23
987026400,1598.5,1619,1588,1617.25,26.366666666661104,-4.813020833339067,20.25
987372000,1617.5,1620.25,1598.75,1607,28.899999999994407,-0.4427083333390698,8.75
987458400,1605.25,1625.75,1592,1620.5,31.741666666661104,3.5177083333276045,3.25
987544800,1631,1692.5,1631,1671.25,35.96666666666101,6.88593749999427,64.25
987631200,1674,1687.5,1663.5,1683.75,46.92499999999427,9.341666666660942,63.25
987717600,1685.25,1693,1665.25,1676.5,55.94166666666092,12.09635416666093,5.25
987976800,1676,1677,1647.5,1651,40.64166666666097,13.850520833327593,-32.75
988063200,1651,1664.5,1638.75,1641.5,19.933333333327482,14.716666666660913,-35
988149600,1641.5,1663.5,1637.75,1657,7.433333333327482,14.812499999994245,6
988236000,1656,1679,1650.5,1665.5,5.541666666660831,15.619270833327576,24
988322400,1666,1684.75,1663,1683,12.79999999999427,18.034374999994256,26
988581600,1683.75,1699.75,1673.25,1679.25,12.991666666660649,20.57708333332758,13.75
988668000,1678.25,1698.25,1670.75,1697.25,15.89999999999418,22.555208333327585,14.25
988754400,1696.5,1703.25,1686.5,1696,17.758333333327073,23.761458333327568,16.75
