time,open,high,low,close,VWAP
1727647200,6188,6192.75,6183,6188.5,6188.083333333333
1727647500,6188.5,6193.5,6188.25,6192.75,6188.9036241697295
1727647800,6192.75,6197,6192.5,6196.5,6190.639100753295
1727648100,6196.5,6197,6195,6195.25,6191.016819271855
1727648400,6195.25,6196.25,6194.25,6195.5,6191.160375569043
1727648700,6195.5,6197.5,6194.25,6196.5,6191.481045828899
1727649000,6196.5,6197.75,6196,6197,6191.688111212189
1727649300,6197.25,6197.75,6196.25,6197.5,6191.932726778924
1727649600,6197.25,6197.75,6196.75,6197.5,6192.092706795979
1727649900,6197.5,6197.75,6197,6197.75,6192.285647724576
1727650200,6197.75,6197.75,6197.25,6197.5,6192.398698823138
1727650500,6197.5,6197.75,6197.5,6197.75,6192.651573250015
1727650800,6197.75,6200.75,6196.75,6199,6193.294031560192
1727651100,6199.25,6199.5,6198,6198.25,6193.430853994489
1727651400,6198.25,6199.25,6198,6198.25,6193.523797933905
1727651700,6198.5,6199.5,6198.5,6199.25,6193.61954499548
1727652000,6199.5,6199.5,6199,6199.25,6193.712267356753
1727652300,6199,6199.5,6198.5,6199.25,6193.7935717227865
1727652600,6199.25,6199.5,6198.5,6199.5,6193.884544327182
1727652900,6199.25,6199.5,6198.25,6198.75,6193.987199504336
1727653200,6199,6199,6197.75,6198.75,6194.051691706362
1727653500,6198.5,6204.5,6198.25,6204,6195.016978102503
1727653800,6204,6205.75,6202.75,6205.5,6195.55375933728
1727654100,6205.25,6205.75,6203.75,6204,6196.002083212496
1727654400,6204,6205.5,6203.25,6204,6196.521612318839
1727654700,6204,6205.75,6203,6205.5,6196.8959597793555
1727655000,6205.5,6205.75,6204,6204,6197.1997010463365
1727655300,6204,6206.75,6202.75,6205.5,6197.94651948637
1727655600,6205.5,6205.5,6203,6203.5,6198.142601796145
1727655900,6203.5,6203.75,6201.5,6202,6198.259850893929
1727656200,6202.25,6204,6202,6202.75,6198.35026886191
1727656500,6203,6203.5,6202.25,6203.25,6198.411130715467
1727656800,6203.25,6204,6203,6203.5,6198.470157223776
1727657100,6203.5,6203.75,6202.5,6203.5,6198.548337123176
1727657400,6203.5,6204,6202,6202,6198.642256614169
1727657700,6202,6202.75,6201.25,6202,6198.702165811573
1727658000,6202,6202,6198.25,6199.5,6198.790993884334
1727658300,6199.75,6201.25,6199.25,6199.25,6198.81453910566
1727658600,6199.25,6199.5,6195.25,6196.5,6198.724500439174
1727658900,6196.5,6197.75,6196,6196.75,6198.666241021549
1727659200,6197,6198.25,6196.25,6197.5,6198.627568891231
1727659500,6197.5,6198.75,6196.5,6198.5,6198.610597579425
1727659800,6198.5,6200,6198.25,6199.5,6198.630703630982
1727660100,6199.25,6199.5,6197,6197.75,6198.620657249983
1727660400,6197.5,6198.75,6195.25,6195.75,6198.5686832440915
1727660700,6196,6196.5,6191.25,6192.75,6198.289790187559
1727661000,6192.5,6194,6191.25,6193.75,6198.142522341549
1727661300,6193.75,6194.25,6192.5,6194,6198.069844307027
1727661600,6194,6194,6192.25,6193.25,6197.999419229136
1727661900,6193,6193.75,6192.25,6193,6197.948858859601
1727662200,6193.25,6193.25,6189.5,6190.75,6197.7368493544445
1727662500,6191,6193.25,6190.25,6193,6197.655723806377
1727662800,6193,6193,6191.5,6191.75,6197.5917510578065
1727663100,6191.75,6193.25,6191.5,6192.25,6197.535067977748
1727663400,6192.25,6192.5,6189.5,6191.75,6197.411198352717
1727663700,6191.75,6192.5,6190.75,6192.5,6197.35666786149
1727664000,6192.25,6194.25,6192.25,6193.75,6197.312159907266
1727664300,6193.75,6194.75,6193.75,6194.25,6197.2896054116645
1727664600,6194.5,6195.25,6194,6194.75,6197.2690640838255
1727664900,6194.75,6196,6194.75,6195.5,6197.25379509036
1727665200,6195.75,6197.25,6195.5,6196.25,6197.241747624638
1727665500,6196.5,6196.5,6195.5,6196.25,6197.228978820448
1727665800,6196.25,6196.75,6195.5,6196.75,6197.223508856614
1727666100,6196.75,6197,6196.25,6196.75,6197.219563571448
1727666400,6196.5,6197,6196,6196.75,6197.215152894756
1727666700,6196.75,6198.5,6196.5,6198.25,6197.223627488917
1727667000,6198.25,6199,6197.25,6198.25,6197.2347120190525
1727667300,6198.5,6199.75,6197.75,6198.5,6197.250615342767
1727667600,6198.5,6199,6197.75,6198,6197.256999103482
1727667900,6198.25,6198.5,6196.75,6198.25,6197.263044173092
1727668200,6198.25,6198.25,6197.5,6198,6197.265706508675
1727668500,6197.75,6200,6197.75,6199.25,6197.28098338066
1727668800,6199.25,6200.25,6199,6199.5,6197.298242839065
