0,1,2,3
19578.5,2025-04-02 15:00:00,2025-04-02 20:00:00,False
19604.75,2025-04-02 18:00:00,2025-04-02 20:00:00,False
19608.0,2025-04-02 19:00:00,2025-04-02 20:00:00,False
17761.5,2025-04-08 17:00:00,2025-04-09 17:00:00,True
17703.5,2025-04-08 18:00:00,2025-04-09 17:00:00,True
17597.5,2025-04-09 14:00:00,2025-04-09 17:00:00,True
17580.0,2025-04-09 16:00:00,2025-04-09 17:00:00,True
19288.75,2025-04-09 23:00:00,2025-04-10 00:00:00,False
19018.0,2025-04-10 05:00:00,2025-04-10 07:00:00,False
19062.75,2025-04-10 06:00:00,2025-04-10 07:00:00,False
18576.0,2025-04-11 15:00:00,2025-04-11 16:00:00,True
