price,formation_time,breakout_time,retest_time,type,status,m5_retest_time,m5_open,m5_high,m5_low,m5_close
22474.0,2024-12-16 14:00:00,2024-12-16 15:00:00,2024-12-17 15:00:00,LHPB,retested,2024-12-17 15:00:00,22512.0,22517.5,22468.25,22484.75
22181.5,2024-12-13 17:00:00,2024-12-18 19:00:00,2024-12-24 16:00:00,LLPB,retested,2024-12-24 16:00:00,22166.75,22182.25,22163.75,22172.5
22253.75,2024-12-13 21:00:00,2024-12-18 19:00:00,2024-12-24 18:00:00,LLPB,retested,2024-12-24 18:05:00,22242.25,22254.5,22233.0,22235.25
22264.0,2024-12-15 23:00:00,2024-12-18 19:00:00,2024-12-25 23:00:00,LLPB,retested,2024-12-25 23:00:00,22255.5,22290.5,22252.75,22259.0
22285.25,2024-12-16 01:00:00,2024-12-18 19:00:00,2024-12-25 23:00:00,LLPB,retested,2024-12-25 23:00:00,22255.5,22290.5,22252.75,22259.0
22286.25,2024-12-16 05:00:00,2024-12-18 19:00:00,2024-12-25 23:00:00,LLPB,retested,2024-12-25 23:00:00,22255.5,22290.5,22252.75,22259.0
22356.25,2024-12-16 12:00:00,2024-12-18 19:00:00,2025-02-14 07:00:00,LLPB,retested,2025-02-14 07:05:00,22351.5,22362.5,22348.75,22357.75
21517.0,2024-12-18 21:00:00,2024-12-20 00:00:00,2024-12-20 15:00:00,LLPB,retested,2024-12-20 15:05:00,21498.0,21541.75,21474.25,21474.75
21855.0,2024-12-20 19:00:00,2024-12-20 20:00:00,2024-12-22 23:00:00,LLPB,retested,2024-12-22 23:00:00,21772.0,21878.0,21771.75,21862.0
21847.0,2024-12-23 15:00:00,2024-12-23 16:00:00,2024-12-27 15:00:00,LHPB,retested,2024-12-27 15:00:00,21901.25,21914.0,21810.0,21812.0
22113.5,2024-12-24 14:00:00,2024-12-24 15:00:00,2024-12-26 10:00:00,LHPB,retested,2024-12-26 10:00:00,22137.5,22141.0,22108.5,22111.25
22274.25,2024-12-26 00:00:00,2024-12-26 02:00:00,2024-12-26 07:00:00,LHPB,retested,2024-12-26 07:00:00,22283.25,22285.0,22270.75,22278.5
22271.5,2024-12-26 01:00:00,2024-12-26 02:00:00,2024-12-26 07:00:00,LHPB,retested,2024-12-26 07:00:00,22283.25,22285.0,22270.75,22278.5
22249.25,2024-12-26 00:00:00,2024-12-26 08:00:00,2024-12-26 17:00:00,LLPB,retested,2024-12-26 17:00:00,22245.75,22250.5,22238.5,22246.5
22251.5,2024-12-26 01:00:00,2024-12-26 08:00:00,2024-12-26 17:00:00,LLPB,retested,2024-12-26 17:05:00,22246.0,22253.0,22243.25,22245.5
22152.5,2024-12-27 05:00:00,2024-12-27 06:00:00,2024-12-27 12:00:00,LLPB,retested,2024-12-27 12:00:00,22140.0,22153.75,22139.75,22152.5
21926.25,2024-12-24 01:00:00,2024-12-27 14:00:00,2024-12-27 21:00:00,LLPB,retested,2024-12-27 21:00:00,21909.25,21936.0,21907.75,21934.75
21932.75,2024-12-24 04:00:00,2024-12-27 14:00:00,2024-12-27 21:00:00,LLPB,retested,2024-12-27 21:00:00,21909.25,21936.0,21907.75,21934.75
21944.25,2024-12-24 06:00:00,2024-12-27 14:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75
21944.75,2024-12-24 08:00:00,2024-12-27 14:00:00,2024-12-29 23:00:00,LLPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75
21922.5,2024-12-27 19:00:00,2024-12-27 21:00:00,2024-12-29 23:00:00,LHPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75
21918.0,2024-12-27 20:00:00,2024-12-27 21:00:00,2024-12-29 23:00:00,LHPB,retested,2024-12-29 23:00:00,21917.0,21948.75,21911.5,21942.75
21845.75,2024-12-30 10:00:00,2024-12-30 12:00:00,2025-01-06 09:00:00,LLPB,retested,2025-01-06 09:00:00,21823.75,21846.5,21822.5,21834.25
21608.75,2024-12-30 15:00:00,2024-12-30 16:00:00,2024-12-30 21:00:00,LHPB,retested,2024-12-30 21:00:00,21617.5,21625.75,21572.5,21594.25
21661.75,2024-12-31 02:00:00,2024-12-31 09:00:00,2024-12-31 13:00:00,LHPB,retested,2024-12-31 13:00:00,21672.0,21675.25,21654.25,21664.25
21765.25,2025-01-03 19:00:00,2025-01-06 07:00:00,2025-01-07 15:00:00,LHPB,retested,2025-01-07 15:05:00,21809.5,21832.0,21757.75,21774.25
21761.5,2025-01-06 06:00:00,2025-01-06 07:00:00,2025-01-07 15:00:00,LHPB,retested,2025-01-07 15:05:00,21809.5,21832.0,21757.75,21774.25
21783.0,2025-01-06 07:00:00,2025-01-06 08:00:00,2025-01-07 15:00:00,LHPB,retested,2025-01-07 15:05:00,21809.5,21832.0,21757.75,21774.25
21831.0,2025-01-06 08:00:00,2025-01-06 09:00:00,2025-01-07 15:00:00,LHPB,retested,2025-01-07 15:00:00,21916.25,21916.25,21804.75,21808.75
21966.5,2025-01-06 12:00:00,2025-01-06 14:00:00,2025-01-06 18:00:00,LHPB,retested,2025-01-06 18:00:00,22001.0,22001.75,21945.25,21983.0
21957.25,2025-01-06 13:00:00,2025-01-06 14:00:00,2025-01-06 18:00:00,LHPB,retested,2025-01-06 18:00:00,22001.0,22001.75,21945.25,21983.0
21929.25,2025-01-06 19:00:00,2025-01-06 20:00:00,2025-01-07 03:00:00,LHPB,retested,2025-01-07 03:00:00,21944.5,21945.25,21921.75,21934.5
21901.25,2025-01-07 14:00:00,2025-01-07 15:00:00,2025-01-20 14:00:00,LLPB,retested,2025-01-20 14:00:00,21894.5,21909.25,21891.0,21906.5
21612.0,2025-01-08 09:00:00,2025-01-08 11:00:00,2025-01-08 15:00:00,LLPB,retested,2025-01-08 15:00:00,21549.5,21612.25,21538.0,21593.75
21248.5,2025-01-10 19:00:00,2025-01-10 20:00:00,2025-01-13 23:00:00,LLPB,retested,2025-01-13 23:05:00,21228.75,21252.0,21226.0,21248.75
21135.75,2025-01-13 06:00:00,2025-01-13 20:00:00,2025-01-14 16:00:00,LHPB,retested,2025-01-14 16:00:00,21142.25,21149.25,21081.75,21092.75
21132.5,2025-01-13 19:00:00,2025-01-13 20:00:00,2025-01-14 16:00:00,LHPB,retested,2025-01-14 16:00:00,21142.25,21149.25,21081.75,21092.75
21135.25,2025-01-14 20:00:00,2025-01-14 21:00:00,2025-01-15 04:00:00,LHPB,retested,2025-01-15 04:05:00,21137.75,21138.0,21133.0,21133.75
21349.75,2025-01-14 08:00:00,2025-01-15 13:00:00,2025-01-27 10:00:00,LHPB,retested,2025-01-27 10:00:00,21370.25,21376.0,21314.5,21317.75
21344.5,2025-01-14 13:00:00,2025-01-15 13:00:00,2025-01-27 10:00:00,LHPB,retested,2025-01-27 10:00:00,21370.25,21376.0,21314.5,21317.75
21335.75,2025-01-14 14:00:00,2025-01-15 13:00:00,2025-01-27 10:00:00,LHPB,retested,2025-01-27 10:00:00,21370.25,21376.0,21314.5,21317.75
21317.0,2025-01-14 15:00:00,2025-01-15 13:00:00,2025-01-27 10:00:00,LHPB,retested,2025-01-27 10:00:00,21370.25,21376.0,21314.5,21317.75
21634.5,2025-01-16 01:00:00,2025-01-16 06:00:00,2025-01-16 13:00:00,LHPB,retested,2025-01-16 13:00:00,21646.5,21649.0,21628.25,21634.5
21449.5,2025-01-16 20:00:00,2025-01-16 21:00:00,2025-01-17 01:00:00,LLPB,retested,2025-01-17 01:00:00,21446.5,21463.5,21444.5,21461.25
21632.0,2025-01-16 17:00:00,2025-01-17 13:00:00,2025-01-21 01:00:00,LHPB,retested,2025-01-21 01:00:00,21677.25,21741.5,21583.75,21734.75
21619.25,2025-01-16 18:00:00,2025-01-17 13:00:00,2025-01-21 01:00:00,LHPB,retested,2025-01-21 01:00:00,21677.25,21741.5,21583.75,21734.75
21601.75,2025-01-16 20:00:00,2025-01-17 13:00:00,2025-01-21 01:00:00,LHPB,retested,2025-01-21 01:00:00,21677.25,21741.5,21583.75,21734.75
21815.0,2025-01-17 19:00:00,2025-01-17 20:00:00,2025-01-19 23:00:00,LLPB,retested,2025-01-19 23:00:00,21806.0,21824.0,21787.25,21792.5
21850.25,2025-01-21 07:00:00,2025-01-21 08:00:00,2025-01-21 12:00:00,LHPB,retested,2025-01-21 12:00:00,21881.5,21881.5,21849.5,21859.25
21888.0,2025-01-21 16:00:00,2025-01-21 17:00:00,2025-01-26 23:00:00,LHPB,retested,2025-01-26 23:00:00,21977.0,21977.0,21864.25,21887.5
21969.5,2025-01-21 19:00:00,2025-01-21 21:00:00,2025-01-26 23:00:00,LHPB,retested,2025-01-26 23:00:00,21977.0,21977.0,21864.25,21887.5
21961.5,2025-01-21 20:00:00,2025-01-21 21:00:00,2025-01-26 23:00:00,LHPB,retested,2025-01-26 23:00:00,21977.0,21977.0,21864.25,21887.5
22173.0,2024-12-27 03:00:00,2025-01-22 14:00:00,2025-01-22 23:00:00,LHPB,retested,2025-01-22 23:05:00,22179.5,22185.0,22170.25,22172.5
22172.0,2024-12-27 05:00:00,2025-01-22 14:00:00,2025-01-22 23:00:00,LHPB,retested,2025-01-22 23:05:00,22179.5,22185.0,22170.25,22172.5
22146.75,2024-12-27 13:00:00,2025-01-22 14:00:00,2025-01-23 02:00:00,LHPB,retested,2025-01-23 02:00:00,22155.0,22155.0,22143.0,22143.75
22140.25,2025-01-22 13:00:00,2025-01-22 14:00:00,2025-01-23 02:00:00,LHPB,retested,2025-01-23 02:05:00,22144.0,22152.0,22132.0,22149.0
