price  , formation_time     , breakout_time      , retest_time        , type, status  , m5_retest_time     , m5_open, m5_high, m5_low , m5_close
6162.0 , 2024-12-02 07:00:00, 2024-12-18 19:00:00, 2025-01-22 09:00:00, LLPB, retested, 2025-01-22 09:00:00, 6161.0 , 6162.0 , 6160.25,  6160.75
6066.75, 2024-12-23 08:00:00, 2024-12-23 10:00:00, 2024-12-23 17:00:00, LLPB, retested, 2024-12-23 17:00:00, 6066.0 , 6072.0 , 6065.0 ,  6066.0
6067.75, 2024-12-23 09:00:00, 2024-12-23 10:00:00, 2024-12-23 17:00:00, LLPB, retested, 2024-12-23 17:00:00, 6066.0 , 6072.0 , 6065.0 ,  6066.0
6140.0 , 2024-12-26 19:00:00, 2024-12-27 00:00:00, 2025-01-21 21:00:00, LLPB, retested, 2025-01-21 21:00:00, 6138.0 , 6144.75, 6137.5 ,  6142.0
6141.25, 2024-12-26 23:00:00, 2024-12-27 00:00:00, 2025-01-21 21:00:00, LLPB, retested, 2025-01-21 21:00:00, 6138.0 , 6144.75, 6137.5 ,  6142.0
6134.0 , 2024-12-27 05:00:00, 2024-12-27 06:00:00, 2025-01-21 18:00:00, LLPB, retested, 2025-01-21 18:05:00, 6133.25, 6134.0 , 6132.0 ,  6133.25
6087.75, 2024-12-24 09:00:00, 2024-12-27 15:00:00, 2024-12-29 23:00:00, LLPB, retested, 2024-12-29 23:00:00, 6080.25, 6087.75, 6079.0 ,  6083.5
6045.25, 2024-12-27 18:00:00, 2024-12-30 12:00:00, 2025-01-02 12:00:00, LLPB, retested, 2025-01-02 12:05:00, 6041.5 , 6045.75, 6039.5 ,  6045.0
6060.5 , 2024-12-30 09:00:00, 2024-12-30 12:00:00, 2025-01-06 09:00:00, LLPB, retested, 2025-01-06 09:00:00, 6058.25, 6063.5 , 6058.0 ,  6061.5
6062.5 , 2024-12-30 10:00:00, 2024-12-30 12:00:00, 2025-01-06 09:00:00, LLPB, retested, 2025-01-06 09:00:00, 6058.25, 6063.5 , 6058.0 ,  6061.5
6063.25, 2024-12-30 11:00:00, 2024-12-30 12:00:00, 2025-01-06 09:00:00, LLPB, retested, 2025-01-06 09:00:00, 6058.25, 6063.5 , 6058.0 ,  6061.5
6000.0 , 2024-12-30 15:00:00, 2024-12-30 16:00:00, 2024-12-30 21:00:00, LHPB, retested, 2024-12-30 21:05:00, 6007.25, 6007.25, 5999.5 ,  6003.0
6009.5 , 2024-12-31 02:00:00, 2024-12-31 03:00:00, 2024-12-31 09:00:00, LLPB, retested, 2024-12-31 09:05:00, 6005.75, 6011.75, 6005.25,  6011.0
6009.0 , 2024-12-31 07:00:00, 2024-12-31 09:00:00, 2024-12-31 15:00:00, LHPB, retested, 2024-12-31 15:05:00, 6023.5 , 6025.75, 6008.5 ,  6008.75
6003.5 , 2024-12-31 09:00:00, 2024-12-31 16:00:00, 2025-01-01 23:00:00, LLPB, retested, 2025-01-01 23:00:00, 6000.75, 6006.0 , 5994.75,  6005.75
6006.25, 2024-12-31 15:00:00, 2024-12-31 16:00:00, 2025-01-01 23:00:00, LLPB, retested, 2025-01-01 23:05:00, 6006.0 , 6007.0 , 6002.5 ,  6004.5
6048.25, 2025-01-03 19:00:00, 2025-01-06 07:00:00, 2025-01-07 15:00:00, LHPB, retested, 2025-01-07 15:05:00, 6056.75, 6060.5 , 6047.75,  6049.25
6051.5 , 2025-01-06 07:00:00, 2025-01-06 08:00:00, 2025-01-07 15:00:00, LHPB, retested, 2025-01-07 15:05:00, 6056.75, 6060.5 , 6047.75,  6049.25
6092.75, 2025-01-06 13:00:00, 2025-01-06 14:00:00, 2025-01-06 18:00:00, LHPB, retested, 2025-01-06 18:00:00, 6098.75, 6099.25, 6087.0 ,  6094.5
6069.0 , 2025-01-07 10:00:00, 2025-01-07 15:00:00, 2025-01-16 08:00:00, LLPB, retested, 2025-01-16 08:00:00, 6067.5 , 6069.0 , 6064.25,  6065.0
6077.5 , 2025-01-07 13:00:00, 2025-01-07 15:00:00, 2025-01-17 14:00:00, LLPB, retested, 2025-01-17 14:00:00, 6070.5 , 6077.5 , 6070.25,  6076.5
5987.5 , 2025-01-10 01:00:00, 2025-01-10 02:00:00, 2025-01-10 07:00:00, LHPB, retested, 2025-01-10 07:00:00, 5989.75, 5990.25, 5987.5 ,  5987.75
5922.5 , 2025-01-13 19:00:00, 2025-01-13 20:00:00, 2025-01-14 16:00:00, LHPB, retested, 2025-01-14 16:00:00, 5929.25, 5930.75, 5912.5 ,  5915.5
5957.5 , 2025-01-15 11:00:00, 2025-01-15 13:00:00, 2025-02-27 20:00:00, LHPB, retested, 2025-02-27 20:00:00, 5970.5 , 5971.25, 5949.75,  5955.25
5957.0 , 2025-01-15 12:00:00, 2025-01-15 13:00:00, 2025-02-27 20:00:00, LHPB, retested, 2025-02-27 20:00:00, 5970.5 , 5971.25, 5949.75,  5955.25
6055.75, 2025-01-16 16:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, LHPB, retested, 2025-01-21 01:00:00, 6062.25, 6073.0 , 6046.0 ,  6071.75
6052.25, 2025-01-17 11:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, LHPB, retested, 2025-01-21 01:00:00, 6062.25, 6073.0 , 6046.0 ,  6071.75
6050.5 , 2025-01-17 12:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, LHPB, retested, 2025-01-21 01:00:00, 6062.25, 6073.0 , 6046.0 ,  6071.75
6086.5 , 2025-01-17 16:00:00, 2025-01-17 20:00:00, 2025-01-19 23:00:00, LLPB, retested, 2025-01-19 23:00:00, 6083.75, 6090.0 , 6081.75,  6082.5
6087.25, 2025-01-17 17:00:00, 2025-01-17 20:00:00, 2025-01-19 23:00:00, LLPB, retested, 2025-01-19 23:00:00, 6083.75, 6090.0 , 6081.75,  6082.5
6089.0 , 2025-01-17 19:00:00, 2025-01-17 20:00:00, 2025-01-19 23:00:00, LLPB, retested, 2025-01-19 23:00:00, 6083.75, 6090.0 , 6081.75,  6082.5
6099.0 , 2025-01-21 07:00:00, 2025-01-21 08:00:00, 2025-01-21 12:00:00, LHPB, retested, 2025-01-21 12:00:00, 6103.5 , 6103.5 , 6097.0 ,  6099.5
