0,1,2,3
4699.25,2023-11-03 11:00:00,2023-11-03 12:00:00,True
4732.25,2023-11-10 10:00:00,2023-11-10 12:00:00,True
4728.0,2023-11-10 11:00:00,2023-11-10 12:00:00,True
4752.0,2023-11-10 14:00:00,2023-11-10 16:00:00,True
4748.0,2023-11-10 15:00:00,2023-11-10 16:00:00,True
4771.0,2023-11-09 16:00:00,2023-11-10 17:00:00,True
4769.0,2023-11-09 17:00:00,2023-11-10 17:00:00,True
4767.0,2023-11-09 18:00:00,2023-11-10 17:00:00,True
4758.5,2023-11-10 16:00:00,2023-11-10 17:00:00,True
4815.0,2023-09-20 20:00:00,2023-11-14 13:00:00,True
4812.5,2023-09-20 22:00:00,2023-11-14 13:00:00,True
4809.75,2023-09-21 00:00:00,2023-11-14 13:00:00,True
4804.75,2023-09-21 07:00:00,2023-11-14 13:00:00,True
4804.0,2023-09-21 08:00:00,2023-11-14 13:00:00,True
4802.5,2023-11-14 09:00:00,2023-11-14 13:00:00,True
4801.75,2023-11-14 10:00:00,2023-11-14 13:00:00,True
4796.0,2023-11-14 11:00:00,2023-11-14 13:00:00,True
4795.75,2023-11-14 12:00:00,2023-11-14 13:00:00,True
6218.25,2024-12-11 19:00:00,2024-12-11 20:00:00,False
6195.0,2025-02-20 13:00:00,2025-02-20 14:00:00,False
6169.25,2025-02-20 19:00:00,2025-02-21 14:00:00,False
6177.0,2025-02-20 20:00:00,2025-02-21 14:00:00,False
6178.75,2025-02-21 08:00:00,2025-02-21 14:00:00,False
6183.75,2025-02-21 12:00:00,2025-02-21 14:00:00,False
6189.0,2025-02-21 13:00:00,2025-02-21 14:00:00,False
6160.5,2025-02-20 18:00:00,2025-02-21 15:00:00,False
6164.5,2025-02-21 14:00:00,2025-02-21 15:00:00,False
6121.75,2025-02-13 14:00:00,2025-02-21 17:00:00,False
6132.0,2025-02-13 15:00:00,2025-02-21 17:00:00,False
6139.0,2025-02-21 15:00:00,2025-02-21 17:00:00,False
6143.25,2025-02-21 16:00:00,2025-02-21 17:00:00,False
6105.0,2025-02-24 12:00:00,2025-02-24 14:00:00,False
6109.5,2025-02-24 13:00:00,2025-02-24 14:00:00,False
6084.75,2025-02-24 18:00:00,2025-02-24 19:00:00,False
6031.75,2025-03-03 13:00:00,2025-03-03 14:00:00,False
5982.0,2025-03-03 15:00:00,2025-03-03 18:00:00,False
5986.0,2025-03-03 16:00:00,2025-03-03 18:00:00,False
5988.75,2025-03-03 17:00:00,2025-03-03 18:00:00,False
5949.25,2025-03-03 18:00:00,2025-03-03 19:00:00,False
5885.5,2025-03-05 20:00:00,2025-03-06 07:00:00,False
5889.5,2025-03-06 00:00:00,2025-03-06 07:00:00,False
5890.0,2025-03-06 01:00:00,2025-03-06 07:00:00,False
5890.25,2025-03-06 03:00:00,2025-03-06 07:00:00,False
5892.0,2025-03-06 06:00:00,2025-03-06 07:00:00,False
5875.25,2025-03-06 07:00:00,2025-03-06 08:00:00,False
5822.25,2025-03-26 12:00:00,2025-03-26 13:00:00,False
5794.5,2025-03-24 14:00:00,2025-03-26 15:00:00,False
5795.0,2025-03-24 18:00:00,2025-03-26 15:00:00,False
5797.0,2025-03-26 14:00:00,2025-03-26 15:00:00,False
5592.25,2025-03-31 17:00:00,2025-04-02 20:00:00,False
5595.25,2025-03-31 18:00:00,2025-04-02 20:00:00,False
5600.25,2025-04-01 14:00:00,2025-04-02 20:00:00,False
5610.75,2025-04-02 13:00:00,2025-04-02 20:00:00,False
5646.5,2025-04-02 14:00:00,2025-04-02 20:00:00,False
5673.0,2025-04-02 15:00:00,2025-04-02 20:00:00,False
5673.75,2025-04-02 18:00:00,2025-04-02 20:00:00,False
5675.5,2025-04-02 19:00:00,2025-04-02 20:00:00,False
5490.25,2025-04-03 16:00:00,2025-04-03 17:00:00,False
5445.5,2024-08-08 13:00:00,2025-04-03 19:00:00,False
5455.0,2025-04-03 15:00:00,2025-04-03 19:00:00,False
5458.75,2025-04-03 18:00:00,2025-04-03 19:00:00,False
5397.0,2025-04-04 07:00:00,2025-04-04 08:00:00,False
5331.5,2024-08-05 13:00:00,2025-04-04 10:00:00,False
5367.75,2024-08-07 23:00:00,2025-04-04 10:00:00,False
5375.0,2025-04-04 09:00:00,2025-04-04 10:00:00,False
5231.75,2025-04-08 14:00:00,2025-04-08 15:00:00,False
5151.75,2025-04-08 10:00:00,2025-04-08 16:00:00,False
5163.25,2025-04-08 11:00:00,2025-04-08 16:00:00,False
5192.75,2025-04-08 15:00:00,2025-04-08 16:00:00,False
5052.75,2025-04-07 19:00:00,2025-04-08 19:00:00,False
5064.5,2025-04-08 18:00:00,2025-04-08 19:00:00,False
