trade_key,time,open,high,low,close
0000_20260807120000,2026-08-09 21:54:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 21:55:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 21:56:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 21:57:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 21:58:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 21:59:00+00:00,7777.25,7777.25,7777.25,7777.25
0000_20260807120000,2026-08-09 22:00:00+00:00,-1.999001e+37,7779.75,7773.5,7774.75
0000_20260807120000,2026-08-09 22:01:00+00:00,0.0,7776.75,7774.25,7774.25
0000_20260807120000,2026-08-09 22:02:00+00:00,-1.999001e+37,7776.0,7773.75,7774.5
0000_20260807120000,2026-08-09 22:03:00+00:00,0.0,7775.0,7772.5,7772.5
0000_20260807120000,2026-08-09 22:04:00+00:00,-1.999001e+37,7773.5,7770.5,7772.25
0000_20260807120000,2026-08-09 22:05:00+00:00,0.0,7772.5,7769.5,7771.25
0000_20260807120000,2026-08-09 22:06:00+00:00,-1.999001e+37,7771.5,7769.5,7770.25
0000_20260807120000,2026-08-09 22:07:00+00:00,0.0,7772.0,7769.5,7771.75
0000_20260807120000,2026-08-09 22:08:00+00:00,0.0,7773.0,7771.25,7771.75
0000_20260807120000,2026-08-09 22:09:00+00:00,0.0,7772.25,7771.25,7771.75
0000_20260807120000,2026-08-09 22:10:00+00:00,-1.999001e+37,7773.75,7771.5,7773.25
0000_20260807120000,2026-08-09 22:11:00+00:00,0.0,7773.25,7770.25,7770.25
0000_20260807120000,2026-08-09 22:12:00+00:00,0.0,7771.75,7769.25,7771.5
0000_20260807120000,2026-08-09 22:13:00+00:00,0.0,7772.0,7771.0,7771.5
0000_20260807120000,2026-08-09 22:14:00+00:00,0.0,7771.75,7767.0,7768.25
0000_20260807120000,2026-08-09 22:15:00+00:00,0.0,7768.5,7766.0,7766.25
0000_20260807120000,2026-08-09 22:16:00+00:00,0.0,7767.25,7765.5,7766.25
0000_20260807120000,2026-08-09 22:17:00+00:00,0.0,7767.25,7763.5,7763.75
0000_20260807120000,2026-08-09 22:18:00+00:00,-1.999001e+37,7765.25,7763.5,7764.75
0000_20260807120000,2026-08-09 22:19:00+00:00,0.0,7765.5,7764.5,7765.25
0000_20260807120000,2026-08-09 22:20:00+00:00,0.0,7767.75,7765.0,7767.25
0000_20260807120000,2026-08-09 22:21:00+00:00,-1.999001e+37,7767.5,7766.0,7767.0
0000_20260807120000,2026-08-09 22:22:00+00:00,-1.999001e+37,7767.75,7767.0,7767.5
0000_20260807120000,2026-08-09 22:23:00+00:00,0.0,7767.5,7766.5,7766.75
0000_20260807120000,2026-08-09 22:24:00+00:00,0.0,7768.5,7766.75,7768.25
0000_20260807120000,2026-08-09 22:25:00+00:00,-1.999001e+37,7769.0,7767.75,7768.75
0000_20260807120000,2026-08-09 22:26:00+00:00,0.0,7769.75,7768.25,7769.5
0000_20260807120000,2026-08-09 22:27:00+00:00,0.0,7769.75,7769.25,7769.75
0000_20260807120000,2026-08-09 22:28:00+00:00,0.0,7770.25,7768.0,7768.25
0000_20260807120000,2026-08-09 22:29:00+00:00,0.0,7769.75,7767.5,7769.25
0000_20260807120000,2026-08-09 22:30:00+00:00,-1.999001e+37,7770.5,7768.75,7769.5
0000_20260807120000,2026-08-09 22:31:00+00:00,-1.999001e+37,7769.75,7768.5,7768.75
0000_20260807120000,2026-08-09 22:32:00+00:00,-1.999001e+37,7769.75,7768.5,7768.75
0000_20260807120000,2026-08-09 22:33:00+00:00,0.0,7769.0,7767.25,7767.5
0000_20260807120000,2026-08-09 22:34:00+00:00,0.0,7767.75,7766.5,7766.5
0000_20260807120000,2026-08-09 22:35:00+00:00,0.0,7767.0,7766.5,7766.75
0000_20260807120000,2026-08-09 22:36:00+00:00,-1.999001e+37,7767.5,7766.5,7766.75
0000_20260807120000,2026-08-09 22:37:00+00:00,-1.999001e+37,7767.75,7766.5,7767.75
0000_20260807120000,2026-08-09 22:38:00+00:00,0.0,7768.75,7767.25,7768.25
0000_20260807120000,2026-08-09 22:39:00+00:00,0.0,7768.5,7767.75,7768.0
0000_20260807120000,2026-08-09 22:40:00+00:00,-1.999001e+37,7769.5,7768.0,7768.75
0000_20260807120000,2026-08-09 22:41:00+00:00,0.0,7769.75,7768.5,7769.25
0000_20260807120000,2026-08-09 22:42:00+00:00,-1.999001e+37,7769.5,7768.75,7769.0
0000_20260807120000,2026-08-09 22:43:00+00:00,0.0,7769.25,7768.75,7769.25
0000_20260807120000,2026-08-09 22:44:00+00:00,-1.999001e+37,7769.25,7768.5,7768.75
