D1_Level,H1_Level,Distance_to_D1,H1_Is_Spike,H1_Is_Swing,Entry_Type,Type,Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Price,Target_Price,PnL,Outcome,MAE,MFE,Max_Drawdown,Formation_Time,Breakout_Time,Associated_D1_Levels
4175.75,4172.0,3.75,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4188.0,4189.75,1.75,True,False,Spike,LLPB,SHORT,2022-06-17 15:00:00,2022-06-17 15:05:00,4189.75,4194.75,4194.75,4179.75,-5.0,STOP,5.0,0.0,0.0,2022-06-17 15:00:00,2022-09-23 18:00:00,10
4244.5,4239.75,4.75,True,True,Spike,LHPB,LONG,2022-09-25 22:25:00,2022-09-25 22:30:00,4239.75,4234.75,4234.75,4249.75,-5.0,STOP,5.0,0.0,2.75,2022-09-25 22:00:00,2022-09-26 07:00:00,5
4277.5,4281.0,3.5,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4327.0,4323.0,4.0,True,False,Spike,LHPB,LONG,2022-10-04 23:10:00,2022-10-04 23:25:00,4323.0,4318.0,4318.0,4333.0,-5.0,STOP,5.0,0.0,4.0,2022-10-04 23:00:00,2022-10-05 17:00:00,13
4324.5,4323.0,1.5,True,False,Spike,LHPB,LONG,2022-10-04 23:10:00,2022-10-04 23:25:00,4323.0,4318.0,4318.0,4333.0,-5.0,STOP,5.0,0.0,4.0,2022-10-04 23:00:00,2022-10-05 17:00:00,13
4270.5,4261.25,9.25,False,True,Swing,LHPB,LONG,2022-09-29 00:05:00,2022-09-29 00:10:00,4261.25,4256.25,4256.25,4271.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 00:00:00,2022-09-29 04:00:00,10
4279.0,4281.0,2.0,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4320.25,4311.25,9.0,True,False,Spike,LLPB,SHORT,2022-11-07 09:55:00,2022-11-07 10:05:00,4311.25,4316.25,4316.25,4301.25,-5.0,STOP,5.0,0.0,2.5,2022-11-07 09:00:00,2022-11-07 13:00:00,12
4244.0,4239.75,4.25,True,True,Spike,LHPB,LONG,2022-09-25 22:25:00,2022-09-25 22:30:00,4239.75,4234.75,4234.75,4249.75,-5.0,STOP,5.0,0.0,2.75,2022-09-25 22:00:00,2022-09-26 07:00:00,5
4300.25,4301.75,1.5,True,False,Spike,LLPB,SHORT,2022-10-05 17:00:00,2022-10-05 17:05:00,4301.75,4306.75,4306.75,4291.75,-5.0,STOP,5.0,0.0,1.0,2022-10-05 17:00:00,2022-10-06 09:00:00,12
4299.5,4301.75,2.25,True,False,Spike,LLPB,SHORT,2022-10-05 17:00:00,2022-10-05 17:05:00,4301.75,4306.75,4306.75,4291.75,-5.0,STOP,5.0,0.0,1.0,2022-10-05 17:00:00,2022-10-06 09:00:00,12
4243.0,4239.75,3.25,True,True,Spike,LHPB,LONG,2022-09-25 22:25:00,2022-09-25 22:30:00,4239.75,4234.75,4234.75,4249.75,-5.0,STOP,5.0,0.0,2.75,2022-09-25 22:00:00,2022-09-26 07:00:00,5
4291.0,4281.0,10.0,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4362.25,4354.0,8.25,True,False,Spike,LLPB,SHORT,2022-07-04 15:00:00,2022-07-04 15:05:00,4354.0,4359.0,4359.0,4344.0,-5.0,STOP,5.0,0.0,2.5,2022-07-04 15:00:00,2022-07-05 08:00:00,15
4351.5,4344.25,7.25,True,False,Spike,LLPB,SHORT,2022-12-27 20:55:00,2022-12-27 21:00:00,4344.25,4349.25,4349.25,4334.25,-5.0,STOP,5.0,0.0,1.75,2022-12-27 20:00:00,2022-12-28 00:00:00,7
4315.75,4305.75,10.0,True,False,Spike,LHPB,LONG,2022-10-05 08:00:00,2022-10-05 08:10:00,4305.75,4300.75,4300.75,4315.75,-5.0,STOP,5.0,0.0,2.5,2022-10-05 08:00:00,2022-10-05 16:00:00,16
4364.75,4355.5,9.25,True,True,Spike,LLPB,SHORT,2022-10-26 06:00:00,2022-10-26 06:10:00,4355.5,4360.5,4360.5,4345.5,-5.0,STOP,5.0,0.0,2.25,2022-10-26 06:00:00,2022-10-27 13:00:00,15
4355.5,4347.5,8.0,True,True,Spike,LLPB,SHORT,2022-12-16 17:55:00,2022-12-16 18:05:00,4347.5,4352.5,4352.5,4337.5,-5.0,STOP,5.0,0.0,4.25,2022-12-16 17:00:00,2022-12-19 16:00:00,10
4326.0,4323.0,3.0,True,False,Spike,LHPB,LONG,2022-10-04 23:10:00,2022-10-04 23:25:00,4323.0,4318.0,4318.0,4333.0,-5.0,STOP,5.0,0.0,4.0,2022-10-04 23:00:00,2022-10-05 17:00:00,13
4279.75,4281.0,1.25,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4159.0,4151.75,7.25,False,True,Swing,LLPB,SHORT,2022-09-30 13:35:00,2022-09-30 13:40:00,4151.75,4156.75,4156.75,4141.75,-5.0,STOP,5.0,0.0,5.0,2022-09-30 13:00:00,2022-09-30 18:00:00,7
4262.5,4259.75,2.75,True,False,Spike,LLPB,SHORT,2022-10-18 10:10:00,2022-10-18 10:15:00,4259.75,4264.75,4264.75,4249.75,-5.0,STOP,5.0,0.0,0.75,2022-10-18 10:00:00,2022-10-18 14:00:00,10
4310.25,4301.75,8.5,True,False,Spike,LLPB,SHORT,2022-10-05 17:00:00,2022-10-05 17:05:00,4301.75,4306.75,4306.75,4291.75,-5.0,STOP,5.0,0.0,1.0,2022-10-05 17:00:00,2022-10-06 09:00:00,12
4313.75,4305.5,8.25,True,False,Spike,LHPB,LONG,2022-09-23 01:00:00,2022-09-23 01:25:00,4305.5,4300.5,4300.5,4315.5,-5.0,STOP,5.0,0.0,4.0,2022-09-23 01:00:00,2022-10-04 13:00:00,15
4390.75,4382.75,8.0,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4362.5,4354.0,8.5,True,False,Spike,LLPB,SHORT,2022-07-04 15:00:00,2022-07-04 15:05:00,4354.0,4359.0,4359.0,4344.0,-5.0,STOP,5.0,0.0,2.5,2022-07-04 15:00:00,2022-07-05 08:00:00,15
4387.25,4382.75,4.5,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4431.0,4421.25,9.75,True,False,Spike,LLPB,SHORT,2022-05-19 13:50:00,2022-05-19 13:55:00,4421.25,4426.25,4426.25,4411.25,-5.0,STOP,5.0,0.0,0.0,2022-05-19 13:00:00,2022-05-20 15:00:00,17
4380.75,4382.75,2.0,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4387.0,4382.75,4.25,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4438.75,4437.5,1.25,True,False,Spike,LLPB,SHORT,2023-03-24 02:00:00,2023-03-24 02:05:00,4437.5,4442.5,4442.5,4427.5,-5.0,STOP,5.0,0.0,1.25,2023-03-24 02:00:00,2023-03-24 08:00:00,21
4392.75,4382.75,10.0,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4421.25,4418.25,3.0,True,True,Spike,LHPB,LONG,2023-01-20 01:25:00,2023-01-20 02:55:00,4418.25,4413.25,4413.25,4428.25,-5.0,STOP,5.0,0.0,2.25,2023-01-20 01:00:00,2023-01-20 05:00:00,16
4461.75,4463.5,1.75,True,False,Spike,LHPB,LONG,2022-09-07 09:00:00,2022-09-07 09:05:00,4463.5,4458.5,4458.5,4473.5,-5.0,STOP,5.0,0.0,0.25,2022-09-07 09:00:00,2022-09-07 13:00:00,21
4383.0,4382.75,0.25,True,False,Spike,LHPB,LONG,2022-07-12 03:00:00,2022-07-12 03:05:00,4382.75,4377.75,4377.75,4392.75,-5.0,STOP,5.0,0.0,2.0,2022-07-12 03:00:00,2022-07-12 10:00:00,18
4438.5,4428.5,10.0,True,False,Spike,LLPB,SHORT,2022-05-19 14:50:00,2022-05-19 14:55:00,4428.5,4433.5,4433.5,4418.5,-5.0,STOP,5.0,0.0,0.0,2022-05-19 14:00:00,2022-05-20 14:00:00,18
4433.5,4428.5,5.0,True,False,Spike,LLPB,SHORT,2022-05-19 14:50:00,2022-05-19 14:55:00,4428.5,4433.5,4433.5,4418.5,-5.0,STOP,5.0,0.0,0.0,2022-05-19 14:00:00,2022-05-20 14:00:00,18
4417.0,4408.0,9.0,True,False,Spike,LLPB,SHORT,2023-01-19 21:00:00,2023-01-19 21:05:00,4408.0,4413.0,4413.0,4398.0,-5.0,STOP,5.0,0.0,3.75,2023-01-19 21:00:00,2023-01-20 09:00:00,13
4307.25,4301.75,5.5,True,False,Spike,LLPB,SHORT,2022-10-05 17:00:00,2022-10-05 17:05:00,4301.75,4306.75,4306.75,4291.75,-5.0,STOP,5.0,0.0,1.0,2022-10-05 17:00:00,2022-10-06 09:00:00,12
4437.0,4428.5,8.5,True,False,Spike,LLPB,SHORT,2022-05-19 14:50:00,2022-05-19 14:55:00,4428.5,4433.5,4433.5,4418.5,-5.0,STOP,5.0,0.0,0.0,2022-05-19 14:00:00,2022-05-20 14:00:00,18
4361.0,4354.0,7.0,True,False,Spike,LLPB,SHORT,2022-07-04 15:00:00,2022-07-04 15:05:00,4354.0,4359.0,4359.0,4344.0,-5.0,STOP,5.0,0.0,2.5,2022-07-04 15:00:00,2022-07-05 08:00:00,15
4287.5,4281.0,6.5,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4414.5,4406.5,8.0,True,False,Spike,LLPB,SHORT,2023-03-17 20:55:00,2023-03-19 22:00:00,4406.5,4411.5,4411.5,4396.5,-5.0,STOP,5.0,0.0,0.0,2023-03-17 20:00:00,2023-03-20 04:00:00,12
4409.0,4401.0,8.0,True,False,Spike,LHPB,LONG,2022-09-19 06:30:00,2022-09-19 06:45:00,4401.0,4396.0,4396.0,4411.0,-5.0,STOP,5.0,0.0,3.0,2022-09-19 06:00:00,2022-09-19 13:00:00,12
4400.5,4393.75,6.75,True,False,Spike,LHPB,LONG,2022-07-05 01:55:00,2022-07-05 02:25:00,4393.75,4388.75,4388.75,4403.75,-5.0,STOP,5.0,0.0,2.5,2022-07-05 01:00:00,2022-07-05 06:00:00,17
4223.0,4230.25,7.25,True,False,Spike,LHPB,LONG,2022-10-20 06:05:00,2022-10-20 06:10:00,4230.25,4225.25,4225.25,4240.25,-5.0,STOP,5.0,0.0,4.5,2022-10-20 06:00:00,2022-10-20 10:00:00,5
4352.5,4344.25,8.25,True,False,Spike,LLPB,SHORT,2022-12-27 20:55:00,2022-12-27 21:00:00,4344.25,4349.25,4349.25,4334.25,-5.0,STOP,5.0,0.0,1.75,2022-12-27 20:00:00,2022-12-28 00:00:00,7
4231.0,4230.25,0.75,True,False,Spike,LHPB,LONG,2022-10-20 06:05:00,2022-10-20 06:10:00,4230.25,4225.25,4225.25,4240.25,-5.0,STOP,5.0,0.0,4.5,2022-10-20 06:00:00,2022-10-20 10:00:00,5
4298.75,4301.75,3.0,True,False,Spike,LLPB,SHORT,2022-10-05 17:00:00,2022-10-05 17:05:00,4301.75,4306.75,4306.75,4291.75,-5.0,STOP,5.0,0.0,1.0,2022-10-05 17:00:00,2022-10-06 09:00:00,12
4328.75,4323.0,5.75,True,False,Spike,LHPB,LONG,2022-10-04 23:10:00,2022-10-04 23:25:00,4323.0,4318.0,4318.0,4333.0,-5.0,STOP,5.0,0.0,4.0,2022-10-04 23:00:00,2022-10-05 17:00:00,13
4358.75,4354.0,4.75,True,False,Spike,LLPB,SHORT,2022-07-04 15:00:00,2022-07-04 15:05:00,4354.0,4359.0,4359.0,4344.0,-5.0,STOP,5.0,0.0,2.5,2022-07-04 15:00:00,2022-07-05 08:00:00,15
4461.0,4463.5,2.5,True,False,Spike,LHPB,LONG,2022-09-07 09:00:00,2022-09-07 09:05:00,4463.5,4458.5,4458.5,4473.5,-5.0,STOP,5.0,0.0,0.25,2022-09-07 09:00:00,2022-09-07 13:00:00,21
4395.5,4393.75,1.75,True,False,Spike,LHPB,LONG,2022-07-05 01:55:00,2022-07-05 02:25:00,4393.75,4388.75,4388.75,4403.75,-5.0,STOP,5.0,0.0,2.5,2022-07-05 01:00:00,2022-07-05 06:00:00,17
