entry_price , target_price, stop_price, entry_time         , exit_time          , exit_price, pnl   , outcome, level_price, formation_time     , breakout_time      , retest_time        , fta    , risk , reward, rr_ratio          , R                 , validity
5462.5      , 5481.0      ,    5445.5 , 2025-04-03 14:50:00, 2025-04-03 15:10:00,    5481.0 , 18.5  , WIN    ,     5462.5 , 2024-08-08 12:00:00, 2024-08-08 13:00:00, 2025-04-03 14:00:00, 5481.0 , 17.0 ,  18.5 , 1.088235294117647 , 1.088235294117647 , invalid
5650.5      , 5698.0      ,    5641.75, 2025-03-10 18:50:00, 2025-03-10 18:55:00,    5641.75, -8.75 , LOSS   ,     5650.5 , 2024-09-11 15:00:00, 2024-09-11 16:00:00, 2025-03-10 18:00:00, 5698.0 ,  8.75,  47.5 , 5.428571428571429 , 5.428571428571429 , valid
5707.5      , 5724.5      ,    5696.0 , 2025-03-10 14:50:00, 2025-03-10 15:30:00,    5724.5 , 17.0  , WIN    ,     5707.5 , 2024-09-11 17:00:00, 2024-09-11 18:00:00, 2025-03-10 14:00:00, 5724.5 , 11.5 ,  17.0 , 1.4782608695652173, 1.4782608695652173, valid
5945.0      , 5962.25     ,    5928.75, 2025-01-02 17:35:00, 2025-01-02 18:50:00,    5928.75, -16.25, LOSS   ,     5945.0 , 2024-12-20 11:00:00, 2024-12-20 13:00:00, 2025-01-02 17:00:00, 5962.25, 16.25,  17.25, 1.0615384615384615, 1.0615384615384615, valid
5989.25     , 6016.5      ,    5962.0 , 2024-12-30 14:40:00, 2024-12-30 16:40:00,    6016.5 , 27.25 , WIN    ,     5989.25, 2024-12-20 00:00:00, 2024-12-20 15:00:00, 2024-12-30 14:00:00, 6016.5 , 27.25,  27.25, 1.0               , 1.0               , invalid
5983.25     , 6016.5      ,    5962.0 , 2024-12-30 14:40:00, 2024-12-30 16:40:00,    6016.5 , 33.25 , WIN    ,     5983.25, 2024-12-20 14:00:00, 2024-12-20 15:00:00, 2024-12-30 14:00:00, 6016.5 , 21.25,  33.25, 1.5647058823529412, 1.5647058823529412, valid
6000.0      , 6020.5      ,    5990.0 , 2024-12-30 21:05:00, 2024-12-31 09:10:00,    6020.5 , 20.5  , WIN    ,     6000.0 , 2024-12-30 15:00:00, 2024-12-30 16:00:00, 2024-12-30 21:00:00, 6020.5 , 10.0 ,  20.5 , 2.05              , 2.05              , invalid
5991.0      , 5999.0      ,    5986.25, 2025-01-02 14:35:00, 2025-01-02 14:40:00,    5986.25, -4.75 , LOSS   ,     5991.0 , 2025-01-02 00:00:00, 2025-01-02 01:00:00, 2025-01-02 14:00:00, 5999.0 ,  4.75,   8.0 , 1.6842105263157894, 1.6842105263157894, invalid
6048.25     , 6055.5      ,    6044.25, 2025-01-07 15:05:00, 2025-01-07 15:10:00,    6055.5 , 7.25  , WIN    ,     6048.25, 2025-01-03 19:00:00, 2025-01-06 07:00:00, 2025-01-07 15:00:00, 6055.5 ,  4.0 ,   7.25, 1.8125            , 1.8125            , valid
6047.5      , 6055.5      ,    6044.25, 2025-01-07 15:10:00, 2025-01-07 15:15:00,    6044.25, -3.25 , LOSS   ,     6047.5 , 2025-01-06 06:00:00, 2025-01-06 07:00:00, 2025-01-07 15:00:00, 6055.5 ,  3.25,   8.0 , 2.4615384615384617, 2.4615384615384617, invalid
6051.5      , 6055.5      ,    6048.5 , 2025-01-07 15:05:00, 2025-01-07 15:10:00,    6048.5 , -3.0  , LOSS   ,     6051.5 , 2025-01-06 07:00:00, 2025-01-06 08:00:00, 2025-01-07 15:00:00, 6055.5 ,  3.0 ,   4.0 , 1.3333333333333333, 1.3333333333333333, invalid
6027.0      , 6028.5      ,    6026.25, 2025-01-27 10:45:00, 2025-01-27 10:50:00,    6026.25, -0.75 , LOSS   ,     6027.0 , 2025-01-17 00:00:00, 2025-01-17 01:00:00, 2025-01-27 10:00:00, 6028.5 ,  0.75,   1.5 , 2.0               , 2.0               , invalid
6036.75     , 6041.5      ,    6034.5 , 2025-01-27 10:30:00, 2025-01-27 10:40:00,    6034.5 , -2.25 , LOSS   ,     6036.75, 2025-01-17 07:00:00, 2025-01-17 08:00:00, 2025-01-27 10:00:00, 6041.5 ,  2.25,   4.75, 2.111111111111111 , 2.111111111111111 , invalid
6058.75     , 6069.5      ,    6048.0 , 2025-01-21 00:55:00, 2025-01-21 01:00:00,    6048.0 , -10.75, LOSS   ,     6058.75, 2025-01-16 12:00:00, 2025-01-17 13:00:00, 2025-01-21 00:00:00, 6069.5 , 10.75,  10.75, 1.0               , 1.0               , invalid
6055.75     , 6069.5      ,    6048.0 , 2025-01-21 01:00:00, 2025-01-21 01:05:00,    6069.5 , 13.75 , WIN    ,     6055.75, 2025-01-16 16:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, 6069.5 ,  7.75,  13.75, 1.7741935483870968, 1.7741935483870968, valid
6052.25     , 6069.5      ,    6048.0 , 2025-01-21 01:00:00, 2025-01-21 01:05:00,    6069.5 , 17.25 , WIN    ,     6052.25, 2025-01-17 11:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, 6069.5 ,  4.25,  17.25, 4.0588235294117645, 4.0588235294117645, invalid
6050.5      , 6069.5      ,    6048.0 , 2025-01-21 01:00:00, 2025-01-21 01:05:00,    6069.5 , 19.0  , WIN    ,     6050.5 , 2025-01-17 12:00:00, 2025-01-17 13:00:00, 2025-01-21 01:00:00, 6069.5 ,  2.5 ,  19.0 , 7.6               , 7.6               , invalid
6155.0      , 6159.25     ,    6150.5 , 2025-01-23 08:50:00, 2025-01-23 09:45:00,    6159.25, 4.25  , WIN    ,     6155.0 , 2025-01-22 06:00:00, 2025-01-22 08:00:00, 2025-01-23 08:00:00, 6159.25,  4.5 ,   4.25, 0.9444444444444444, 0.9444444444444444, valid
6154.25     , 6159.25     ,    6150.5 , 2025-01-23 08:50:00, 2025-01-23 09:45:00,    6159.25, 5.0   , WIN    ,     6154.25, 2025-01-22 07:00:00, 2025-01-22 08:00:00, 2025-01-23 08:00:00, 6159.25,  3.75,   5.0 , 1.3333333333333333, 1.3333333333333333, invalid
6127.25     , 6136.25     ,    6118.25, 2025-01-30 12:15:00, 2025-01-30 13:10:00,    6136.25, 9.0   , WIN    ,     6127.25, 2025-01-29 23:00:00, 2025-01-30 00:00:00, 2025-01-30 12:00:00, 6136.25,  9.0 ,   9.0 , 1.0               , 1.0               , valid
6107.0      , 6118.0      ,    6096.75, 2025-02-07 15:50:00, 2025-02-07 15:55:00,    6118.0 , 11.0  , WIN    ,     6107.0 , 2025-02-05 14:00:00, 2025-02-05 16:00:00, 2025-02-07 15:00:00, 6118.0 , 10.25,  11.0 , 1.0731707317073171, 1.0731707317073171, valid
6106.5      , 6118.0      ,    6096.75, 2025-02-07 15:50:00, 2025-02-07 15:55:00,    6118.0 , 11.5  , WIN    ,     6106.5 , 2025-02-05 15:00:00, 2025-02-05 16:00:00, 2025-02-07 15:00:00, 6118.0 ,  9.75,  11.5 , 1.1794871794871795, 1.1794871794871795, invalid
6165.25     , 6169.75     ,    6160.5 , 2025-02-20 15:00:00, 2025-02-20 15:05:00,    6160.5 , -4.75 , LOSS   ,     6165.25, 2025-02-13 15:00:00, 2025-02-13 19:00:00, 2025-02-20 15:00:00, 6169.75,  4.75,   4.5 , 0.9473684210526315, 0.9473684210526315, invalid
6165.0      , 6169.75     ,    6160.5 , 2025-02-20 15:00:00, 2025-02-20 15:05:00,    6160.5 , -4.5  , LOSS   ,     6165.0 , 2025-02-13 16:00:00, 2025-02-13 19:00:00, 2025-02-20 15:00:00, 6169.75,  4.5 ,   4.75, 1.0555555555555556, 1.0555555555555556, invalid
6162.75     , 6169.75     ,    6160.5 , 2025-02-20 15:00:00, 2025-02-20 15:05:00,    6160.5 , -2.25 , LOSS   ,     6162.75, 2025-02-13 18:00:00, 2025-02-13 19:00:00, 2025-02-20 15:00:00, 6169.75,  2.25,   7.0 , 3.111111111111111 , 3.111111111111111 , invalid
