retest_time,type,price,formation_time,range_ratio,is_spike,large_wick,wick_pct,confluence_count,fast_retest,bars_to_retest,level_age_bars,approach_strength,swerve,swerve_dist,mae,mfe,pnl_hold,cluster_size,cluster_rank,is_most_recent_in_cluster,approach_bucket
2026-08-20 12:00:00,LHPB,7689.25,2026-06-03 00:00:00,3.115693012600229,False,False,23.3,6,False,274,1292,0.7045009784735812,False,9.0,-34.25,30.75,-18.75,9,5,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7688.25,2026-06-03 04:00:00,3.115693012600229,True,True,62.5,5,False,274,1288,0.7045009784735812,False,10.0,-33.25,31.75,-17.75,9,4,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7686.75,2026-06-03 05:00:00,3.115693012600229,False,False,32.1,4,False,274,1287,0.7045009784735812,False,11.5,-31.75,33.25,-16.25,9,3,False,fast/strong (above median)
2026-08-20 12:00:00,LHPB,7681.25,2026-06-03 12:00:00,3.9262187088274043,False,False,16.4,1,False,275,1280,0.7045009784735812,True,1.25,-26.25,38.75,-10.75,9,2,False,fast/strong (above median)
2026-08-20 15:00:00,LLPB,7717.5,2026-08-20 09:00:00,2.318007662835249,False,False,13.2,1,True,4,6,-0.012662234884457108,True,1.25,-2.5,62.5,48.0,1,1,True,slow/drift (below median)
2026-08-20 18:00:00,LHPB,7677.0,2026-06-03 13:00:00,3.9262187088274043,False,False,19.0,2,False,281,1285,0.6124852767962308,True,3.25,-22.0,37.0,-9.75,2,2,False,fast/strong (above median)
2026-08-20 18:00:00,LHPB,7673.75,2026-06-04 19:00:00,3.9262187088274043,False,True,52.8,1,False,281,1256,0.6124852767962308,True,6.5,-18.75,40.25,-6.5,2,1,True,fast/strong (above median)
2026-08-20 19:00:00,LHPB,7664.25,2026-06-04 20:00:00,3.9262187088274043,False,False,15.3,0,False,282,1256,0.8639813193228254,False,5.0,-9.25,49.75,6.5,1,1,True,fast/strong (above median)
2026-08-20 20:00:00,LHPB,7657.75,2026-08-04 11:00:00,3.9262187088274043,False,False,20.0,1,False,283,285,0.35472972972972966,False,1.25,-2.75,56.25,10.25,1,1,True,slow/drift (below median)
2026-08-24 13:00:00,LHPB,7656.25,2026-08-04 12:00:00,3.9262187088274043,False,False,33.3,1,False,322,323,0.05442176870748299,True,1.5,-1.25,30.25,13.5,1,1,True,slow/drift (below median)
