price,formation_time,breakout_time,retest_time,type,status,m5_retest_time,m5_open,m5_high,m5_low,m5_close
6092.0,2025-01-21 08:00:00,2025-01-27 07:00:00,2025-01-27 15:00:00,LLPB,retested,2025-01-27 15:25:00,6084.5,6094.5,6081.25,6092.5
6094.75,2025-01-27 06:00:00,2025-01-27 07:00:00,2025-01-27 15:00:00,LLPB,retested,2025-01-27 15:30:00,6092.5,6098.0,6089.5,6097.5
6079.25,2025-01-27 07:00:00,2025-01-27 08:00:00,2025-01-27 14:00:00,LLPB,retested,2025-01-27 14:30:00,6049.5,6081.5,6048.25,6076.5
6043.25,2025-01-27 11:00:00,2025-01-27 12:00:00,2025-02-03 15:00:00,LHPB,retested,2025-02-03 15:20:00,6002.25,6053.0,6001.75,6049.0
6105.75,2025-01-28 00:00:00,2025-01-28 08:00:00,2025-01-28 12:00:00,LHPB,retested,2025-01-28 12:00:00,6111.75,6113.0,6104.75,6106.0
6104.25,2025-01-28 01:00:00,2025-01-28 08:00:00,2025-01-28 12:00:00,LHPB,retested,2025-01-28 12:05:00,6106.0,6107.5,6103.5,6104.5
6104.0,2025-01-28 07:00:00,2025-01-28 08:00:00,2025-01-28 12:00:00,LHPB,retested,2025-01-28 12:05:00,6106.0,6107.5,6103.5,6104.5
6118.25,2025-01-28 10:00:00,2025-01-28 11:00:00,2025-01-28 15:00:00,LLPB,retested,2025-01-28 15:20:00,6112.75,6122.75,6111.0,6122.75
6111.0,2025-01-28 14:00:00,2025-01-28 15:00:00,2025-01-29 18:00:00,LHPB,retested,2025-01-29 18:00:00,6122.5,6125.0,6097.75,6101.75
6146.75,2025-01-28 20:00:00,2025-01-28 21:00:00,2025-01-29 02:00:00,LLPB,retested,2025-01-29 02:45:00,6146.0,6147.25,6146.0,6146.0
6149.0,2025-01-29 10:00:00,2025-01-29 12:00:00,2025-01-30 08:00:00,LLPB,retested,2025-01-30 08:05:00,6147.5,6149.0,6147.0,6148.0
6150.25,2025-01-29 11:00:00,2025-01-29 12:00:00,2025-01-30 08:00:00,LLPB,retested,2025-01-30 08:20:00,6149.25,6151.25,6148.0,6151.0
6145.0,2025-01-29 12:00:00,2025-01-29 13:00:00,2025-01-30 02:00:00,LLPB,retested,2025-01-30 02:20:00,6143.75,6145.25,6143.75,6144.75
6127.25,2025-01-29 23:00:00,2025-01-30 00:00:00,2025-01-30 12:00:00,LHPB,retested,2025-01-30 12:15:00,6133.75,6133.75,6125.75,6127.5
6139.0,2025-01-29 20:00:00,2025-01-30 01:00:00,2025-01-30 05:00:00,LHPB,retested,2025-01-30 05:05:00,6140.0,6140.25,6138.5,6139.0
6133.0,2025-01-30 00:00:00,2025-01-30 01:00:00,2025-01-30 12:00:00,LHPB,retested,2025-01-30 12:00:00,6138.75,6141.5,6131.0,6135.0
6166.75,2025-01-31 05:00:00,2025-01-31 06:00:00,2025-01-31 18:00:00,LHPB,retested,2025-01-31 18:25:00,6176.0,6176.25,6166.25,6167.75
6162.25,2025-01-31 04:00:00,2025-01-31 18:00:00,2025-02-07 13:00:00,LLPB,retested,2025-02-07 13:30:00,6152.5,6166.25,6139.0,6149.75
6163.25,2025-01-31 05:00:00,2025-01-31 18:00:00,2025-02-07 13:00:00,LLPB,retested,2025-02-07 13:30:00,6152.5,6166.25,6139.0,6149.75
6164.0,2025-01-31 06:00:00,2025-01-31 18:00:00,2025-02-07 13:00:00,LLPB,retested,2025-02-07 13:30:00,6152.5,6166.25,6139.0,6149.75
6167.75,2025-01-31 08:00:00,2025-01-31 18:00:00,2025-02-07 14:00:00,LLPB,retested,2025-02-07 14:30:00,6162.0,6168.0,6158.75,6165.25
6168.5,2025-01-31 14:00:00,2025-01-31 18:00:00,2025-02-07 14:00:00,LLPB,retested,2025-02-07 14:40:00,6166.25,6171.0,6165.5,6168.5
6179.25,2025-01-31 17:00:00,2025-01-31 18:00:00,2025-02-13 19:00:00,LLPB,retested,2025-02-13 19:35:00,6175.5,6179.25,6175.25,6177.5
6137.0,2025-01-30 21:00:00,2025-01-31 19:00:00,2025-02-05 20:00:00,LLPB,retested,2025-02-05 20:55:00,6131.0,6140.0,6130.75,6137.5
6147.25,2025-01-31 18:00:00,2025-01-31 19:00:00,2025-02-06 00:00:00,LLPB,retested,2025-02-06 00:00:00,6141.5,6147.25,6141.25,6146.0
6032.25,2025-01-27 12:00:00,2025-02-02 23:00:00,2025-02-03 08:00:00,LLPB,retested,2025-02-03 08:15:00,6025.0,6037.0,6021.75,6036.5
6006.0,2025-02-03 00:00:00,2025-02-03 02:00:00,2025-02-03 06:00:00,LLPB,retested,2025-02-03 06:00:00,6003.5,6008.25,6002.75,6006.0
6007.75,2025-02-03 01:00:00,2025-02-03 02:00:00,2025-02-03 06:00:00,LLPB,retested,2025-02-03 06:00:00,6003.5,6008.25,6002.75,6006.0
6010.0,2025-02-03 06:00:00,2025-02-03 07:00:00,2025-02-03 15:00:00,LHPB,retested,2025-02-03 15:00:00,6016.75,6019.5,6008.5,6011.75
6041.0,2025-02-03 14:00:00,2025-02-03 15:00:00,2025-02-04 05:00:00,LHPB,retested,2025-02-04 05:05:00,6070.25,6070.5,6038.5,6053.25
