es_price,es_formation_time,es_breakout_time,es_retest_time,es_type,es_status,es_m5_retest_time,es_m5_open,es_m5_high,es_m5_low,es_m5_close,nq_price,nq_formation_time,nq_breakout_time,nq_retest_time,nq_type,nq_status,nq_m5_retest_time,nq_m5_open,nq_m5_high,nq_m5_low,nq_m5_close,time_diff_minutes
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17705.75,2024-01-08 11:00:00,2024-01-08 12:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:50:00,17716.25,17849.0,17656.0,17812.0,5.0
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17815.75,2024-01-05 16:00:00,2024-01-08 14:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,17844.0,17849.5,17713.75,17716.25,0.0
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17757.5,2024-01-05 17:00:00,2024-01-08 14:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,17844.0,17849.5,17713.75,17716.25,0.0
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17748.25,2024-01-05 19:00:00,2024-01-08 14:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,17844.0,17849.5,17713.75,17716.25,0.0
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17738.75,2024-01-08 01:00:00,2024-01-08 14:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,17844.0,17849.5,17713.75,17716.25,0.0
5169.75,2022-03-30 14:00:00,2024-01-19 18:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,5200.0,5201.25,5167.0,5167.5,17736.25,2024-01-08 13:00:00,2024-01-08 14:00:00,2025-04-04 14:00:00,LHPB,retested,2025-04-04 14:45:00,17844.0,17849.5,17713.75,17716.25,0.0
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0,17835.5,2024-01-03 20:00:00,2024-01-08 14:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:30:00,17901.25,17942.75,17820.75,17940.25,5.0
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0,17825.75,2024-01-04 07:00:00,2024-01-08 14:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:30:00,17901.25,17942.75,17820.75,17940.25,5.0
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0,17822.75,2024-01-04 08:00:00,2024-01-08 14:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:30:00,17901.25,17942.75,17820.75,17940.25,5.0
5239.25,2024-04-19 02:00:00,2024-04-19 03:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:25:00,5264.0,5265.0,5224.0,5228.0,17822.25,2024-01-04 16:00:00,2024-01-08 14:00:00,2025-04-04 11:00:00,LHPB,retested,2025-04-04 11:30:00,17901.25,17942.75,17820.75,17940.25,5.0
