time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,true_positive,hist_confluence_count,hist_confluence_prices,hist_true_positive
2026-08-13 08:13:29-07:00,LONG,7815.5,7815.25,91,-19,1.65,-67.0,1.0,LHPB,0,,False,2,7818.75;7820.25,True
2026-08-13 08:16:16-07:00,LONG,7814.5,7814.25,95,-59,1.98,-68.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:17:44-07:00,LONG,7814.5,7814.25,150,-30,3.1,-86.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:17:45-07:00,LONG,7814.25,7814.0,171,-29,3.26,-88.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:20:03-07:00,LONG,7815.25,7815.0,145,-85,2.74,-116.0,1.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:21:11-07:00,LONG,7814.75,7814.25,183,-21,4.15,-83.0,2.0,LHPB,0,,False,1,7818.75,False
2026-08-13 08:21:34-07:00,SHORT,7816.5,7817.0,163,33,3.2,94.0,2.0,LLPB,0,,False,1,7818.00,False
2026-08-13 08:23:45-07:00,LONG,7812.5,7812.25,89,-35,1.73,-68.0,1.0,LHPB,0,,False,0,,False
2026-08-13 08:25:23-07:00,LONG,7812.0,7811.75,258,-88,5.28,-108.0,1.0,LHPB,0,,False,0,,False
2026-08-13 08:25:58-07:00,LONG,7810.25,7810.0,151,-51,2.53,-74.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:26:16-07:00,LONG,7809.5,7809.25,593,-285,6.37,-294.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:27:42-07:00,LONG,7807.0,7806.5,2832,-818,7.59,-822.0,2.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:33:12-07:00,LONG,7804.25,7804.0,177,-71,4.39,-105.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:33:59-07:00,LONG,7804.0,7803.75,148,-108,2.04,-130.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:34:18-07:00,LONG,7804.25,7803.75,183,-55,2.58,-74.0,2.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:34:37-07:00,LONG,7803.0,7802.75,190,-62,1.98,-63.0,1.0,LHPB,1,7798.00,False,2,7798.00;7805.25,True
2026-08-13 08:34:53-07:00,LONG,7802.25,7801.75,238,-46,2.79,-66.0,2.0,LHPB,1,7798.00,False,3,7796.75;7798.00;7805.25,True
2026-08-13 08:35:22-07:00,SHORT,7804.75,7805.0,186,106,1.72,143.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:38:03-07:00,LONG,7802.0,7801.75,233,-191,5.25,-206.0,1.0,LHPB,1,7798.00,False,3,7796.75;7798.00;7805.25,True
2026-08-13 08:38:04-07:00,LONG,7801.75,7801.5,117,-41,1.99,-235.0,1.0,LHPB,1,7798.00,False,3,7796.75;7798.00;7805.25,True
2026-08-13 08:38:13-07:00,LONG,7801.25,7800.75,137,-67,2.12,-120.0,2.0,LHPB,2,7796.00;7798.00,True,4,7796.00;7796.75;7798.00;7805.25,True
2026-08-13 08:39:05-07:00,SHORT,7802.5,7802.75,195,31,3.42,78.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:39:18-07:00,SHORT,7802.75,7803.0,172,66,3.24,80.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:40:39-07:00,LONG,7802.5,7802.25,131,-45,2.41,-90.0,1.0,LHPB,1,7798.00,False,2,7798.00;7805.25,True
2026-08-13 08:41:00-07:00,SHORT,7802.25,7802.5,126,10,2.37,71.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:41:02-07:00,SHORT,7802.5,7802.75,160,50,3.02,62.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:41:09-07:00,SHORT,7804.0,7804.25,249,99,4.34,165.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:41:10-07:00,SHORT,7804.25,7804.5,127,23,1.6,161.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:42:31-07:00,LONG,7807.0,7806.75,215,-131,3.69,-155.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:43:12-07:00,LONG,7806.0,7805.75,126,-38,2.0,-63.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:43:19-07:00,SHORT,7806.25,7806.75,112,52,1.63,72.0,2.0,LLPB,0,,False,0,,False
2026-08-13 08:44:34-07:00,LONG,7805.0,7804.75,84,-56,1.8,-78.0,1.0,LHPB,0,,False,1,7805.25,False
2026-08-13 08:45:00-07:00,LONG,7803.25,7803.0,167,-61,3.45,-66.0,1.0,LHPB,1,7798.00,False,2,7798.00;7805.25,True
2026-08-13 08:46:50-07:00,SHORT,7805.0,7805.25,194,116,4.98,138.0,1.0,LLPB,0,,False,0,,False
2026-08-13 08:48:57-07:00,LONG,7802.5,7802.25,71,-45,2.33,-66.0,1.0,LHPB,1,7798.00,False,2,7798.00;7805.25,True
2026-08-13 08:57:30-07:00,LONG,7802.0,7801.5,94,-52,2.14,-103.0,2.0,LHPB,1,7798.00,False,3,7796.75;7798.00;7805.25,True
2026-08-13 08:58:11-07:00,LONG,7800.0,7799.75,106,-42,2.3,-77.0,1.0,LHPB,3,7795.25;7796.00;7798.00,True,4,7795.25;7796.00;7796.75;7798.00,True
2026-08-13 08:58:27-07:00,LONG,7799.0,7798.75,345,-273,6.28,-288.0,1.0,LHPB,4,7794.00;7795.25;7796.00;7798.00,True,5,7794.00;7795.25;7796.00;7796.75;7798.00,True
2026-08-13 08:59:11-07:00,LONG,7798.25,7797.75,680,-276,5.26,-565.0,2.0,LHPB,4,7794.00;7795.25;7796.00;7798.00,True,6,7793.00;7794.00;7795.25;7796.00;7796.75;7798.00,True
2026-08-13 09:01:34-07:00,SHORT,7802.0,7802.25,81,47,1.97,76.0,1.0,LLPB,0,,False,0,,False
2026-08-13 09:02:34-07:00,SHORT,7803.75,7804.0,84,44,1.84,63.0,1.0,LLPB,0,,False,0,,False
