Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:53:02-07:00,7800.75,7801.0,7800.5,7800.75,27,20,21,6,-15
2026-08-13 08:53:03-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:53:04-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:53:05-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:53:06-07:00,7800.75,7801.0,7800.75,7801.0,5,5,4,1,-3
2026-08-13 08:53:07-07:00,7801.0,7801.0,7800.75,7801.0,13,10,9,4,-5
2026-08-13 08:53:08-07:00,7801.0,7801.0,7800.75,7800.75,4,4,4,0,-4
2026-08-13 08:53:09-07:00,7800.75,7801.0,7800.5,7800.75,20,15,16,4,-12
2026-08-13 08:53:10-07:00,7800.75,7801.0,7800.5,7800.75,25,24,10,15,5
2026-08-13 08:53:11-07:00,7800.75,7801.0,7800.5,7800.75,22,17,17,5,-12
2026-08-13 08:53:12-07:00,7800.75,7801.0,7800.5,7800.5,35,24,15,20,5
2026-08-13 08:53:13-07:00,7800.5,7800.75,7800.25,7800.25,45,41,29,16,-13
2026-08-13 08:53:14-07:00,7800.25,7800.5,7800.0,7800.25,21,16,13,8,-5
2026-08-13 08:53:15-07:00,7800.25,7800.5,7800.0,7800.5,39,25,0,39,39
2026-08-13 08:53:16-07:00,7800.5,7801.25,7800.5,7801.0,54,36,13,41,28
2026-08-13 08:53:17-07:00,7801.0,7801.0,7800.75,7800.75,13,8,13,0,-13
2026-08-13 08:53:18-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:53:19-07:00,7800.75,7801.25,7800.75,7801.0,33,26,15,18,3
2026-08-13 08:53:20-07:00,7801.0,7801.25,7801.0,7801.0,14,9,6,8,2
2026-08-13 08:53:21-07:00,7801.0,7801.25,7800.5,7801.0,50,37,40,10,-30
2026-08-13 08:53:22-07:00,7801.0,7801.0,7800.75,7800.75,1,1,1,0,-1
2026-08-13 08:53:23-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:53:24-07:00,7800.75,7801.0,7800.75,7800.75,17,12,17,0,-17
2026-08-13 08:53:25-07:00,7800.75,7800.75,7800.25,7800.75,48,37,24,24,0
2026-08-13 08:53:26-07:00,7800.75,7800.75,7800.5,7800.5,3,3,3,0,-3
2026-08-13 08:53:27-07:00,7800.5,7800.75,7800.25,7800.5,31,24,18,13,-5
2026-08-13 08:53:28-07:00,7800.5,7800.75,7800.5,7800.5,10,6,10,0,-10
2026-08-13 08:53:29-07:00,7800.5,7801.5,7800.5,7801.5,227,121,24,203,179
2026-08-13 08:53:30-07:00,7801.5,7801.5,7801.25,7801.5,10,10,3,7,4
2026-08-13 08:53:31-07:00,7801.5,7801.75,7801.25,7801.5,88,62,42,46,4
2026-08-13 08:53:32-07:00,7801.5,7801.5,7801.25,7801.25,42,35,34,8,-26
