time_pt,direction,trigger_close,tested_price,volume,delta,vol_z,run_delta_sum,reject_ticks,level_type,confluence_count,confluence_prices,nearest_level_ticks
2026-07-08 10:25:02-07:00,SHORT,7530.75,7531.0,116,18,1.57,113.0,1.0,LLPB,2,7531.25;7532.00,1.0
2026-07-09 05:06:39-07:00,SHORT,7546.0,7546.75,86,28,4.21,97.0,3.0,LLPB,2,7547.00;7548.00,1.0
2026-07-09 07:06:44-07:00,LONG,7559.0,7558.5,87,-57,1.59,-156.0,2.0,LHPB,2,7554.50;7558.00,2.0
2026-07-09 07:06:46-07:00,LONG,7558.25,7558.0,188,-110,4.26,-180.0,1.0,LHPB,2,7554.50;7558.00,0.0
2026-07-10 07:33:00-07:00,LONG,7565.25,7564.25,1108,-208,1.71,-754.0,4.0,LHPB,2,7564.50;7566.50,1.0
2026-07-12 22:09:03-07:00,SHORT,7580.75,7582.0,264,160,4.99,173.0,5.0,LLPB,2,7582.25;7585.75,1.0
2026-07-14 17:05:36-07:00,LONG,7598.75,7598.25,46,-14,2.98,-110.0,2.0,LHPB,2,7596.00;7598.25,0.0
2026-07-16 12:02:30-07:00,SHORT,7574.75,7575.0,213,137,6.19,164.0,1.0,LLPB,2,7575.50;7579.50,2.0
2026-07-17 07:05:10-07:00,SHORT,7524.5,7525.0,228,42,2.03,109.0,2.0,LLPB,3,7524.25;7525.00;7525.50,0.0
2026-07-20 05:02:28-07:00,LONG,7528.0,7527.5,232,-94,2.28,-105.0,2.0,LHPB,2,7524.25;7527.75,1.0
2026-07-22 07:19:26-07:00,LONG,7540.5,7539.75,332,-98,5.49,-236.0,3.0,LHPB,3,7536.50;7538.75;7539.25,2.0
2026-07-22 07:27:32-07:00,LONG,7533.0,7532.75,269,-55,2.15,-149.0,1.0,LHPB,2,7530.25;7533.00,1.0
2026-07-23 00:11:03-07:00,LONG,7503.25,7502.25,362,-30,4.41,-250.0,4.0,LHPB,2,7499.25;7501.75,2.0
2026-07-28 06:30:00-07:00,LONG,7448.25,7446.0,2309,-719,7.4,-917.0,9.0,LHPB,2,7444.25;7445.75,1.0
2026-07-28 06:30:01-07:00,LONG,7447.5,7446.0,1004,-72,2.8,-897.0,6.0,LHPB,2,7444.25;7445.75,1.0
2026-07-28 09:31:00-07:00,LONG,7467.5,7467.0,215,-67,4.02,-81.0,2.0,LHPB,2,7462.25;7467.00,0.0
2026-07-28 16:47:08-07:00,SHORT,7485.5,7485.75,95,55,6.05,72.0,1.0,LLPB,2,7486.00;7487.00,1.0
2026-07-28 16:47:09-07:00,SHORT,7485.75,7486.0,76,28,3.93,89.0,1.0,LLPB,2,7486.00;7487.00,0.0
2026-07-28 17:02:14-07:00,SHORT,7497.75,7498.75,171,77,4.68,121.0,4.0,LLPB,2,7498.00;7498.75,0.0
2026-07-28 18:10:30-07:00,LONG,7477.75,7477.5,88,-66,5.87,-69.0,1.0,LHPB,2,7474.00;7477.50,0.0
2026-07-29 07:02:48-07:00,SHORT,7436.5,7437.0,274,88,4.24,302.0,2.0,LLPB,2,7437.50;7438.50,2.0
2026-07-29 10:12:52-07:00,SHORT,7416.5,7416.75,234,124,5.7,165.0,1.0,LLPB,3,7416.25;7417.00;7420.00,1.0
2026-07-29 10:13:04-07:00,SHORT,7419.25,7419.5,235,105,3.48,192.0,1.0,LLPB,2,7420.00;7422.00,2.0
2026-07-29 10:13:05-07:00,SHORT,7418.5,7419.75,317,79,4.13,197.0,5.0,LLPB,2,7420.00;7422.00,1.0
2026-07-29 11:47:44-07:00,SHORT,7476.25,7476.5,620,252,3.24,941.0,1.0,LLPB,2,7476.00;7476.25,1.0
2026-07-29 13:01:04-07:00,SHORT,7355.25,7357.75,404,196,1.87,398.0,10.0,LLPB,2,7357.25;7360.00,2.0
2026-08-04 06:00:21-07:00,LONG,7650.5,7650.25,84,-60,5.36,-73.0,1.0,LHPB,3,7647.75;7648.00;7650.00,1.0
2026-08-06 10:00:02-07:00,SHORT,7740.25,7740.5,242,134,4.95,201.0,1.0,LLPB,2,7740.25;7745.25,1.0
2026-08-07 05:39:43-07:00,SHORT,7775.25,7775.75,98,44,1.82,80.0,2.0,LLPB,2,7775.75;7776.00,0.0
2026-08-07 06:01:10-07:00,LONG,7771.25,7771.0,123,-39,4.26,-117.0,1.0,LHPB,3,7768.50;7770.75;7771.50,1.0
2026-08-07 07:12:10-07:00,LONG,7744.25,7744.0,419,-129,4.0,-209.0,1.0,LHPB,2,7740.00;7743.75,1.0
2026-08-11 06:30:53-07:00,LONG,7785.25,7785.0,551,-385,1.73,-448.0,1.0,LHPB,2,7780.50;7784.50,2.0
2026-08-11 09:00:02-07:00,SHORT,7766.25,7766.5,134,58,4.58,72.0,1.0,LLPB,4,7766.50;7767.75;7770.00;7771.50,0.0
2026-08-11 09:00:04-07:00,SHORT,7766.75,7767.0,121,81,3.52,143.0,1.0,LLPB,5,7766.50;7767.75;7770.00;7771.50;7771.75,2.0
2026-08-11 09:00:14-07:00,SHORT,7767.25,7767.75,154,108,4.01,135.0,2.0,LLPB,4,7767.75;7770.00;7771.50;7771.75,0.0
2026-08-12 06:32:19-07:00,LONG,7774.75,7774.25,387,-215,2.46,-709.0,2.0,LHPB,2,7771.50;7773.75,2.0
2026-08-12 06:33:00-07:00,LONG,7772.0,7771.75,315,-203,1.96,-450.0,1.0,LHPB,2,7771.50;7773.75,1.0
2026-08-13 08:59:11-07:00,LONG,7798.25,7797.75,680,-276,5.26,-565.0,2.0,LHPB,4,7794.00;7795.25;7796.00;7798.00,1.0
